filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints24_Len18_Async_Freq3.txt,24,18,Async,3,0.166667,0.285714,0.647059,1.000000,0.785714
ds_NumPoints24_Len18_Sync_Freq1.txt,24,18,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len18_Sync_Freq2.txt,24,18,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints24_Len18_Sync_Freq3.txt,24,18,Sync,3,0.472222,0.571429,0.333333,0.545455,0.413793
ds_NumPoints24_Len21_Async_Freq1.txt,24,21,Async,1,0.222222,0.380952,0.578947,1.000000,0.733333
ds_NumPoints24_Len21_Async_Freq2.txt,24,21,Async,2,0.222222,0.380952,0.588235,0.909091,0.714286
ds_NumPoints24_Len21_Async_Freq3.txt,24,21,Async,3,0.222222,0.285714,0.600000,0.818182,0.692308
ds_NumPoints24_Len21_Sync_Freq1.txt,24,21,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len21_Sync_Freq2.txt,24,21,Sync,2,0.555556,0.619048,0.200000,0.272727,0.230769
ds_NumPoints24_Len21_Sync_Freq3.txt,24,21,Sync,3,0.416667,0.476190,0.375000,0.545455,0.444444
ds_NumPoints24_Len24_Async_Freq1.txt,24,24,Async,1,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints24_Len24_Async_Freq2.txt,24,24,Async,2,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints24_Len24_Async_Freq3.txt,24,24,Async,3,0.111111,0.190476,0.733333,1.000000,0.846154
ds_NumPoints24_Len24_Sync_Freq1.txt,24,24,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len24_Sync_Freq2.txt,24,24,Sync,2,0.444444,0.571429,0.333333,0.454545,0.384615
ds_NumPoints24_Len24_Sync_Freq3.txt,24,24,Sync,3,0.527778,0.666667,0.166667,0.181818,0.173913
ds_NumPoints24_Len27_Async_Freq1.txt,24,27,Async,1,0.250000,0.428571,0.562500,0.818182,0.666667
ds_NumPoints24_Len27_Async_Freq2.txt,24,27,Async,2,0.194444,0.333333,0.611111,1.000000,0.758621
ds_NumPoints24_Len27_Async_Freq3.txt,24,27,Async,3,0.138889,0.238095,0.687500,1.000000,0.814815
ds_NumPoints24_Len27_Sync_Freq1.txt,24,27,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints24_Len27_Sync_Freq2.txt,24,27,Sync,2,0.583333,0.619048,0.187500,0.272727,0.222222
ds_NumPoints24_Len27_Sync_Freq3.txt,24,27,Sync,3,0.444444,0.523810,0.333333,0.454545,0.384615
ds_NumPoints24_Len30_Async_Freq1.txt,24,30,Async,1,0.166667,0.238095,0.647059,1.000000,0.785714
ds_NumPoints24_Len30_Async_Freq2.txt,24,30,Async,2,0.277778,0.428571,0.529412,0.818182,0.642857
ds_NumPoints24_Len30_Async_Freq3.txt,24,30,Async,3,0.222222,0.380952,0.588235,0.909091,0.714286
